0.188,-3.42274,-3.42274
0.189,-3.18712,-3.18712
0.19,-2.93893,-2.93893
0.191,-2.67913,-2.67913
0.192,-2.40877,-2.40877
0.193,-2.1289,-2.1289
0.194,-1.84062,-1.84062
0.195,-1.54508,-1.54508
0.196,-1.24345,-1.24345
0.197,-0.936907,-0.936907
0.198,-0.626666,-0.626666
0.199,-0.313953,-0.313953
0.2,4.19596e-14,1.1262e-14
0.201,0.313953,0.313953
0.202,0.626666,0.626666
0.203,0.936907,0.936907
0.204,1.24345,1.24345
0.205,1.54508,1.54508
0.206,1.84062,1.84062
0.207,2.1289,2.1289
0.208,2.40877,2.40877
0.209,2.67913,2.67913
0.21,2.93893,2.93893
0.211,3.18712,3.18712
0.212,3.42274,3.42274
0.213,3.64484,3.64484
0.214,3.85257,3.85257
0.215,4.04508,4.04508
0.216,4.22164,4.22164
0.217,4.38153,4.38153
0.218,4.52414,4.52414
0.219,4.64888,4.64888
0.22,4.75528,4.75528
0.221,4.84292,4.84292
0.222,4.91144,4.91144
0.223,4.96057,4.96057
0.224,4.99013,4.99013
0.225,5,5
0.226,4.99013,4.99013
0.227,4.96057,4.96057
0.228,4.91144,4.91144
0.229,4.84292,4.84292
0.23,4.75528,4.75528
0.231,4.64888,4.64888
0.232,4.52414,4.52414
0.233,4.38153,4.38153
0.234,4.22164,4.22164
0.235,4.04508,4.04508
0.236,3.85257,3.85257
0.237,3.64484,3.64484
0.238,3.42274,3.42274
0.239,3.18712,3.18712
0.24,2.93893,2.93893
0.241,2.67913,2.67913
0.242,2.40877,2.40877
0.243,2.1289,2.1289
0.244,1.84062,1.84062
0.245,1.54508,1.54508
0.246,1.24345,1.24345
0.247,0.936907,0.936907
0.248,0.626666,0.626666
0.249,0.313953,0.313953
0.25,-5.02291e-14,7.85648e-09
0.251,-0.313953,-0.313953
0.252,-0.626666,-0.626666
0.253,-0.936907,-0.936907
0.254,-1.24345,-1.24345
0.255,-1.54508,-1.54508
0.256,-1.84062,-1.84062
0.257,-2.1289,-2.1289
0.258,-2.40877,-2.40877
0.259,-2.67913,-2.67913
0.26,-2.93893,-2.93893
0.261,-3.18712,-3.18712
0.262,-3.42274,-3.42274
0.263,-3.64484,-3.64484
0.264,-3.85257,-3.85257
0.265,-4.04508,-4.04508
0.266,-4.22164,-4.22164
0.267,-4.38153,-4.38153
0.268,-4.52414,-4.52414
0.269,-4.64888,-4.64888
0.27,-4.75528,-4.75528
0.271,-4.84292,-4.84292
0.272,-4.91144,-4.91144
0.273,-4.96057,-4.96057
0.274,-4.99013,-4.99013
0.275,-5,-5
0.276,-4.99013,-4.99013
0.277,-4.96057,-4.96057
0.278,-4.91144,-4.91144
0.279,-4.84292,-4.84292
0.28,-4.75528,-4.75528
0.281,-4.64888,-4.64888
0.282,-4.52414,-4.52414
0.283,-4.38153,-4.38153
0.284,-4.22164,-4.22164
0.285,-4.04508,-4.04508
0.286,-3.85257,-3.85257
0.287,-3.64484,-3.64484
0.288,-3.42274,-3.42274
0.289,-3.18712,-3.18712
0.29,-2.93893,-2.93893
0.291,-2.67913,-2.67913
0.292,-2.40877,-2.40877
0.293,-2.1289,-2.1289
0.294,-1.84062,-1.84062
0.295,-1.54508,-1.54508
0.296,-1.24345,-1.24345
0.297,-0.936907,-0.936907
0.298,-0.626666,-0.626666
0.299,-0.313953,-0.313953
0.3,6.73803e-14,2.15836e-14
0.301,0.313953,0.313953
0.302,0.626666,0.626666
0.303,0.936907,0.936907
0.304,1.24345,1.24345
0.305,1.54508,1.54508
0.306,1.84062,1.84062
0.307,2.1289,2.1289
0.308,2.40877,2.40877
0.309,2.67913,2.67913
0.31,2.93893,2.93893
0.311,3.18712,3.18712
0.312,3.42274,3.42274
0.313,3.64484,3.64484
0.314,3.85257,3.85257
0.315,4.04508,4.04508
0.316,4.22164,4.22164
0.317,4.38153,4.38153
0.318,4.52414,4.52414
0.319,4.64888,4.64888
0.32,4.75528,4.75528
0.321,4.84292,4.84292
0.322,4.91144,4.91144
0.323,4.96057,4.96057
0.324,4.99013,4.99013
0.325,5,5
0.326,4.99013,4.99013
0.327,4.96057,4.96057
0.328,4.91144,4.91144
0.329,4.84292,4.84292
0.33,4.75528,4.75528
0.331,4.64888,4.64888
0.332,4.52414,4.52414
0.333,4.38153,4.38153
0.334,4.22164,4.22164
0.335,4.04508,4.04508
0.336,3.85257,3.85257
0.337,3.64484,3.64484
0.338,3.42274,3.42274
0.339,3.18712,3.18712
0.34,2.93893,2.93893
0.341,2.67913,2.67913
0.342,2.40877,2.40877
0.343,2.1289,2.1289
0.344,1.84062,1.84062
0.345,1.54508,1.54508
0.346,1.24345,1.24345
0.347,0.936907,0.936907
0.348,0.626666,0.626666
0.349,0.313953,0.313953
0.35,-8.45316e-14,7.85643e-09
0.351,-0.313953,-0.313953
0.352,-0.626666,-0.626666
0.353,-0.936907,-0.936907
0.354,-1.24345,-1.24345
0.355,-1.54508,-1.54508
0.356,-1.84062,-1.84062
0.357,-2.1289,-2.1289
0.358,-2.40877,-2.40877
0.359,-2.67913,-2.67913
0.36,-2.93893,-2.93893
0.361,-3.18712,-3.18712
0.362,-3.42274,-3.42274
0.363,-3.64484,-3.64484
0.364,-3.85257,-3.85257
0.365,-4.04508,-4.04508
0.366,-4.22164,-4.22164
0.367,-4.38153,-4.38153
0.368,-4.52414,-4.52414
0.369,-4.64888,-4.64888
0.37,-4.75528,-4.75528
0.371,-4.84292,-4.84292
0.372,-4.91144,-4.91144
0.373,-4.96057,-4.96057
0.374,-4.99013,-4.99013
0.375,-5,-5
0.376,-4.99013,-4.99013
0.377,-4.96057,-4.96057
0.378,-4.91144,-4.91144
0.379,-4.84292,-4.84292
0.38,-4.75528,-4.75528
0.381,-4.64888,-4.64888
0.382,-4.52414,-4.52414
0.383,-4.38153,-4.38153
0.384,-4.22164,-4.22164
